,Net Income,"Property/Plant/Equipment, Total - Gross",Income Available to Common Excluding Extraordinary Items,Total Equity,Long Term Debt,Net Income/Starting Line,Total Revenue,Diluted Normalized EPS,Provision for Income Taxes,"Other Equity, Total",Total Long Term Debt,Cash Taxes Paid,"Common Stock, Total",Net Income After Taxes,avg Volume,"Other Investing Cash Flow Items, Total",Net Income Before Taxes,Total Liabilities & Shareholders' Equity,Cash From Operating Activities,Non-Cash Items,Net Change in Cash,Net Income Before Extraordinary Items,Total Operating Expenses,Capital Expenditures,Cash From Financing Activities,"Other Liabilities, Total","Issuance (Retirement) of Stock, Net",Total Liabilities,Operating Income,Total Assets,Diluted Net Income,Diluted Weighted Average Shares,Changes in Working Capital,Cash From Investing Activities,Total Common Shares Outstanding,Retained Earnings (Accumulated Deficit),Diluted EPS Excluding Extraordinary Items,Depreciation/Depletion,"Property/Plant/Equipment, Total - Net"
0,0.2685326939927015,0.05380132968322253,0.2687087272097187,0.06757172575192857,0.06378376845098589,0.2726407280827851,0.05755869165931922,0.000807868332704568,0.26192901059937385,0.4603014906853128,0.06411351943580669,0.2352682497801231,0.00016514670532322855,0.2734800319792896,0.021351263120504366,0.6836313224056224,0.27115269153892335,0.01388837698389335,0.5481430279479897,0.7086652656272909,0.37165927551507966,0.2687087272097187,0.047584926165439564,0.9626058794220229,0.12459770716717493,0.02989093169746116,0.851041236505221,0.011074347122505117,0.37226615198274754,0.01388837698389335,0.2711223686987892,0.02903216934973761,0.7744388969250152,0.6797272060468286,0.030296991490867523,0.1398374367535416,0.0007840238051208449,0.04153535177899976,0.03961086227282005
1,0.26006913352012867,0.05276104810324599,0.260247203557883,0.061495622778885324,0.06211373926979658,0.2649676799025161,0.05747284722731428,0.000807868332704568,0.25412093093432914,0.4522863323104784,0.06250731302587303,0.22685795954265608,0.00016514670532322855,0.2651425743328131,0.01756142432117188,0.6688939984289898,0.262921894831242,0.013095035042755634,0.5416479848552782,0.7121157323688969,0.36498202833688287,0.260247203557883,0.049352490729261234,0.957673143996014,0.1306708201174775,0.02685109845402766,0.8401746209663148,0.011112668512435198,0.36229086862758614,0.013095035042755634,0.2626887724751981,0.029177177687717045,0.7733456874887512,0.6644748820441859,0.030161859126876665,0.1363484209306617,0.0007529356266113207,0.034623660588145797,0.039248837863131665
2,0.26756983159536674,0.04863707469691045,0.26944032652432565,0.06091704949293577,0.047551510294967576,0.27240273031044426,0.05859776697171248,0.0007982413019275524,0.266606314360077,0.4736321411204453,0.04781743850853274,0.24675681618293754,0.00016514670532322855,0.27425096128221726,0.016627167324729984,0.685915009389647,0.2727106909157236,0.010684280146017227,0.5377185771932447,0.705478715605298,0.36570233547584696,0.26944032652432565,0.048546554555083485,0.9607125062282013,0.12256024757824441,0.019971475850467626,0.7985841543271783,0.008571219694551215,0.37281759903890654,0.010684280146017227,0.2701629152035001,0.030022226278010985,0.7677196584387103,0.6818132162531927,0.03023547208780554,0.13313191741375094,0.0007804135650358681,0.032341498402486464,0.03365286480699092
3,0.2182378655266376,0.000556491982792335,0.2184260025798502,0.04257101066135044,0.0,0.22349447369172623,0.001515726521100742,0.0007240329396880563,0.21386217041982572,0.5885700152589836,0.0,0.16368128847845206,8.257335266162018e-06,0.22367923630410783,0.002219220313851504,0.6807937242825114,0.22170118331952665,0.00034109862334756055,0.4993310666068848,0.7075896583744684,0.3662794695658229,0.21842600257985023,0.002864571913996207,0.998670154459392,0.13229370539875893,0.0001593969702233429,0.850359742788036,2.480263405390625e-05,0.3041088714045159,0.00034109862334756055,0.2210056032084125,0.0022041267372873907,0.7686169567449023,0.6806548823563072,0.0022988276084358354,0.04771327843032912,0.0006953723541452979,0.0005238105588037073,0.0007827429896283845
4,0.2180210289147578,0.00045946421587798566,0.21820921815136404,0.04199850481060934,0.0,0.22328008529840157,0.0015038513746733918,0.0007154087246169799,0.21352721511825282,0.5885743749685598,0.0,0.16153748900615653,8.257335266162018e-06,0.22346489892260252,0.00470992510143242,0.6810239396981788,0.2214625434149826,0.00025898699376015956,0.4995822746973546,0.7079566003616636,0.36635378125232604,0.21820921815136404,0.002824989457805342,0.9989035874439463,0.13213424255512848,8.365255391704319e-05,0.8494244587339981,2.0397284354380772e-05,0.30425618654666126,0.00025898699376015956,0.2207895342812734,0.002211627168562194,0.7687864042075231,0.6809094952479543,0.0022851566299776174,0.04722934378178416,0.0006851433405711964,0.00044404355669543067,0.000680490350508955
5,0.21856032814350504,0.000361184982401251,0.21874838759361584,0.041719879518072295,0.0,0.22381329550755402,0.0013760683607826898,0.0007374706701476408,0.2116608200369658,0.5885156865704178,0.0,0.16129562445030782,8.257335266162018e-06,0.22399798225910839,0.004153712630057559,0.6810473487902701,0.22151224739510098,0.00021108805071441407,0.4991917002939271,0.7077136992326866,0.3663699401424768,0.21874838759361584,0.0027302186904145246,0.9989038365719981,0.1322243357896283,4.863733189493831e-05,0.8505102943779127,9.596448906860944e-06,0.304062096877431,0.00021108805071441407,0.22132692418398478,0.0022281281173667468,0.7684739729497323,0.6809329043400457,0.0022909405054791702,0.04679373178780946,0.0007088104700171569,0.00030689647677627826,0.0005584419085618753
6,0.2398153229921912,0.005323425889714512,0.23993762153212297,0.05215437288723238,0.003555637500842101,0.2448283084070333,0.026092772793038017,0.0007468971377834685,0.23874618083059862,0.5771048174790818,0.003555637500842102,0.19822449428320138,0.0011725416077949268,0.24494803365439527,0.014445857057380176,0.691048623285284,0.24369846252061497,0.011471860385906456,0.5164661485577641,0.7189355358975612,0.36680056376038744,0.23993762153212297,0.022756596981395365,0.9846437468858994,0.123738803788715,0.007094467960614732,0.8384484691168662,0.010731805421088089,0.33249106360350955,0.011471860385906456,0.24250666820179226,0.021556739512521968,0.7612670564002747,0.6894453605780485,0.022517678941277364,0.08549655175373469,0.0007104150211660357,0.010432741420156924,0.004612345032370374
7,0.23814283100802067,0.004266327727806024,0.238330990932019,0.051390959521539395,0.0070992195893359224,0.24317469988480903,0.025235043843255228,0.000738272922712392,0.238365206895251,0.5806814561429985,0.007099219589335926,0.195844327176781,0.0011725416077949268,0.24335953858453574,0.012773561341534566,0.6769930240905567,0.24235326305869473,0.012276193880195128,0.5143619538683805,0.7190264405454279,0.3667926403818589,0.238330990932019,0.02206037802729317,0.9858868958644743,0.13200338558595506,0.005476271015989976,0.8392578608931627,0.011721882003777433,0.3315112603519414,0.012276193880195128,0.24084009748047513,0.021801753600832047,0.760695121219595,0.6755195517939167,0.022749033961339524,0.08348875833093722,0.0007013894209535931,0.008889565085092043,0.0029431814242964626
8,0.234215315289292,0.004177356276886977,0.23616314664715732,0.04995211060067609,0.007099928731238764,0.23929152823129574,0.023739919985835675,0.0007184171717347972,0.2195880955075252,0.5819575095997451,0.007099928731238761,0.19012203166226913,0.0011725416077949268,0.24121616476948265,0.018452990497691807,0.675945857371003,0.23685846525661386,0.011378373089751532,0.5132840133512678,0.7215991398269879,0.3622460617207177,0.23616314664715735,0.02136232740006785,0.9882710513203787,0.12989728353264368,0.005376162221958108,0.8386490472538494,0.010957193159004586,0.3270317377475357,0.011378373089751532,0.23692648667319094,0.022086769989274384,0.7617903304292181,0.6747213017536011,0.022990905118677237,0.08144169738688592,0.0006899569940178324,0.008207089917190113,0.0030567954677624964
9,0.1588337810643481,0.0,0.15871854604262528,0.18349224235069775,0.12636199566714298,0.1658558875888921,0.07821858496184396,0.0006387936046832297,0.15642563464222398,0.5302915974981974,0.12636199566714296,0.21459982409850484,0.08745435528561205,0.16601629420946434,0.04504120902469018,0.6651043265204205,0.16408393436642624,0.17318818857389875,0.5040850894236039,0.7870485313523288,0.36604568187875314,0.15899770893898846,0.09253235293395752,1.0,0.13966123780396467,0.11940830674431573,0.8444221579847797,0.1674649055126234,0.24437967129816543,0.17318818857389875,0.16153359046687008,0.04338849483845321,0.7489951138870927,0.6651043265204205,0.045219916091740676,0.07920452155851289,0.00045829992189847304,0.08954769718968027,0.003489299097634899
