,Net Income Before Taxes,Total Liabilities,Income Available to Common Excluding Extraordinary Items,avg Volume,Total Liabilities & Shareholders' Equity,Diluted Net Income,Net Income Before Extraordinary Items,Total Assets,Diluted Weighted Average Shares,Total Equity,Total Common Shares Outstanding,Net Income After Taxes,Net Income,High,Low
0,0.2567208986334113,0.009259228067144918,0.24231507960220242,0.015390907786266868,0.012484431013917706,0.24453353079862794,0.2423150796022024,0.012484431013917706,0.029191061721802115,0.06360542596493902,0.029990335705414633,0.24750754518634072,0.24215334699453558,208.95,163.38
1,0.2538112955203494,0.009969796242966584,0.23828588501429848,0.021397212714229112,0.012557095587997806,0.24051613342525682,0.2382858850142985,0.012557095587997806,0.029036053428858444,0.05945111197963832,0.030300560613214733,0.2435993082166232,0.23812329234972682,182.54,114.04
2,0.2461068941231708,0.010004295473045237,0.2307823637372487,0.01760755185571088,0.011839800068126244,0.2330345819608644,0.2307823637372487,0.011839800068126244,0.029181061186773494,0.05410522101369836,0.030165428746596723,0.23617281020041372,0.23061816939890714,219.75,150.58
3,0.25526965404890123,0.007716329726988688,0.23893465363438474,0.016673338724578164,0.009660129994892696,0.2396649899139494,0.2389346536343847,0.009660129994892696,0.03002610639669222,0.05359617932756927,0.03023904143658319,0.24428600495099873,0.23726946721311476,259.77,176.87
4,0.2068276789334775,2.3891441603206465e-05,0.1929361048273507,0.0016041786154479233,0.0003562300599526029,0.19529913438704902,0.1929361048273507,0.0003562300599526029,0.0022186186961002403,0.037786011839508866,0.0023172223197882413,0.19848502831564313,0.19276383196721314,379.3,261.27
5,0.2075224267085915,2.232882941729199e-05,0.19369610312006486,0.0022660681967794733,0.000308402344152748,0.19605690745516602,0.19369610312006488,0.000308402344152748,0.002208118134320183,0.037454925025976374,0.0023024997817909505,0.19923980128183394,0.19352399248633884,387.4,143.66
6,0.2072990488656816,1.8362867505730704e-05,0.19350386273421827,0.004756656040590106,0.00023416158997312172,0.19586522993641958,0.19350386273421827,0.00023416158997312172,0.002215618535591656,0.03695122160472054,0.0022888288536506056,0.19904888263420262,0.1933317110655738,293.44,119.01
7,0.20734557405971443,8.639302994485048e-06,0.19398198813436338,0.004200469684547664,0.00019085403811972058,0.1963419554171029,0.19398198813436338,0.00019085403811972058,0.002232119418388882,0.03670608085564759,0.002294612707863832,0.1995237207094171,0.1938099385245902,459.75,272.17
8,0.22938343446990445,0.01247038161372636,0.21395279354645952,0.012052030824097842,0.01293871817650303,0.21625428763543822,0.2139527935464595,0.01293871817650303,0.02133064118930363,0.04573005538449806,0.022200535690061123,0.21935721794567467,0.21378500683060114,200.51,127.31
9,0.22811288406405394,0.00966141951158286,0.21277220538648683,0.014492130874282397,0.010372216105960721,0.21513077820051238,0.21277220538648683,0.010372216105960721,0.02156065349496198,0.045886580936674824,0.02252127669643073,0.21818474685475944,0.21265795765027326,182.32,103.2
10,0.22685371596867018,0.010552746258446882,0.21134747535106063,0.012819913676198915,0.011099449574934413,0.2136523419213714,0.21134747535106066,0.011099449574934413,0.021805666603163267,0.04521491282422809,0.022752630864959617,0.2167698124724474,0.21117486338797817,170.45,121.4
11,0.22171033442650936,0.0098643271681547,0.20942507149259465,0.018499076171344424,0.010287690108758723,0.2101805275387483,0.20942507149259465,0.010287690108758723,0.02209068185147905,0.04394898143999694,0.022994501132058007,0.21486062599613417,0.20769211065573773,141.52,100.51
12,0.291543654717612,0.1536718455384004,0.2716633232318921,0.027930450377224546,0.15916001098795218,0.27379584471737783,0.27191087967903027,0.15916001098795218,0.043170809638315655,0.16066652049989036,0.0429693045598855,0.2814524059818916,0.27175546448087434,62.54,36.8
13,0.15359005186065205,0.15076202392243873,0.14074864484186267,0.045086046326181115,0.156587097337344,0.1432985215637209,0.1409962012890008,0.156587097337344,0.04339232148919967,0.16144056890651362,0.045223430288256775,0.14787717453965887,0.14084699453551913,56.42,16.07
14,0.24308346790544144,0.13315582020246733,0.219753297195783,0.02883257510601974,0.14017959679955935,0.22244635668019985,0.21994109863843955,0.14017959679955935,0.0444023755270907,0.16013078748939497,0.04566720964788947,0.23226457323069621,0.22018442622950823,58.66,39.83
15,0.2073003293756091,0.12626583110961637,0.1920781936915788,0.04177181962351349,0.13134230227540616,0.1940862548834359,0.1920781936915788,0.13134230227540616,0.04484739933586447,0.14237343069311648,0.04548896177713652,0.19820102411068535,0.19154713114754102,65.05,36.16
16,0.23157310644594467,0.0014015210751128987,0.21876307140723036,0.32735241858670366,0.0032269108462792545,0.22105048132165564,0.21876307140723034,0.0032269108462792545,0.06137778371142856,0.049213082561985824,0.06338683573748873,0.22408355658041984,0.2185963114754099,164.46,72.5
17,0.21454232441007617,0.0008805537099755938,0.21302659097699433,0.3990752749974534,0.002303376167621527,0.21533930836078272,0.21302659097699433,0.002303376167621527,0.06027772485827992,0.046048254101407955,0.06359715770887864,0.2183949947438028,0.21285860655737707,97.96,36.76
18,0.20811843294040647,0.0009025868317064995,0.19457083102138376,0.43002632038638405,0.0015195605045663471,0.1970397228676727,0.19457083102138376,0.0015195605045663471,0.05592749212082846,0.0403096193626493,0.061441357502132136,0.20010851503950627,0.19450990437158475,47.31,16.94
19,0.20781964729065439,0.0009283887768913719,0.1947586324640403,0.5453176477224704,0.001126316927191694,0.19700567712722042,0.1947586324640403,0.001126316927191694,0.053127342312813734,0.037333536695804685,0.052765576182298664,0.2003119807385805,0.19447575136612025,34.14,9.04
