,Net Income,Income Available to Common Excluding Extraordinary Items,Total Equity,Diluted Normalized EPS,Net Income After Taxes,avg Volume,Net Income Before Taxes,Total Liabilities & Shareholders' Equity,Cash From Operating Activities,Net Change in Cash,Low,Net Income Before Extraordinary Items,Cash From Financing Activities,Total Liabilities,High,Total Assets,Diluted Net Income,Diluted Weighted Average Shares,Changes in Working Capital,Cash From Investing Activities,Total Common Shares Outstanding,Diluted EPS Excluding Extraordinary Items
0,0.2685326939927015,0.2687087272097187,0.06757172575192857,0.0008078683327045679,0.2734800319792896,0.02135126312050437,0.2711526915389234,0.01388837698389335,0.5481430279479899,0.37165927551507966,0.04752594701811905,0.2687087272097187,0.12459770716717494,0.011074347122505117,0.03969375944300621,0.01388837698389335,0.2711223686987892,0.029032169349737614,0.7744388969250152,0.6797272060468286,0.030296991490867526,0.0007840238051208448
1,0.2600691335201286,0.260247203557883,0.061495622778885324,0.0008078683327045679,0.265142574332813,0.01756142432117188,0.26292189483124206,0.013095035042755634,0.5416479848552782,0.36498202833688287,0.0627908647780613,0.260247203557883,0.1306708201174775,0.011112668512435198,0.04791304040502213,0.013095035042755634,0.2626887724751981,0.029177177687717045,0.7733456874887513,0.6644748820441859,0.03016185912687667,0.0007529356266113204
2,0.2675698315953667,0.2694403265243257,0.06091704949293577,0.0007982413019275521,0.2742509612822172,0.016627167324729984,0.27271069091572364,0.010684280146017229,0.5377185771932447,0.3657023354758469,0.07377375169401316,0.2694403265243257,0.12256024757824441,0.008571219694551215,0.05675301955309731,0.010684280146017229,0.2701629152035001,0.030022226278010985,0.7677196584387103,0.6818132162531927,0.030235472087805547,0.0007804135650358677
3,0.21823786552663757,0.2184260025798502,0.04257101066135043,0.0007240329396880561,0.2236792363041078,0.0022192203138515026,0.22170118331952668,0.00034109862334756103,0.49933106660688487,0.36627946956582286,0.059899971759484374,0.2184260025798502,0.1322937053987589,2.480263405390578e-05,0.08494508698610166,0.00034109862334756103,0.22100560320841248,0.002204126737287394,0.7686169567449023,0.6806548823563072,0.0022988276084358354,0.0006953723541452977
4,0.21802102891475778,0.21820921815136404,0.04199850481060935,0.0007154087246169795,0.2234648989226025,0.0047099251014324234,0.22146254341498264,0.00025898699376016027,0.49958227469735467,0.366353781252326,0.049602209778570966,0.21820921815136404,0.13213424255512848,2.039728435438058e-05,0.06419035333409909,0.00025898699376016027,0.22078953428127338,0.0022116271685621923,0.7687864042075231,0.6809094952479543,0.0022851566299776165,0.0006851433405711961
5,0.218560328143505,0.21874838759361584,0.04171987951807229,0.0007374706701476406,0.22399798225910839,0.004153712630057563,0.22151224739510106,0.0002110880507144116,0.4991917002939271,0.3663699401424767,0.11358619456545532,0.21874838759361584,0.1322243357896283,9.596448906860454e-06,0.10092640860937101,0.0002110880507144116,0.2213269241839848,0.0022281281173667485,0.7684739729497324,0.6809329043400456,0.0022909405054791707,0.0007088104700171567
6,0.2398153229921912,0.239937621532123,0.05215437288723238,0.0007468971377834685,0.24494803365439524,0.014445857057380178,0.24369846252061497,0.011471860385906456,0.5164661485577642,0.3668005637603874,0.04299743830115753,0.239937621532123,0.12373880378871499,0.010731805421088089,0.039645163855485555,0.011471860385906456,0.24250666820179226,0.02155673951252197,0.7612670564002746,0.6894453605780485,0.022517678941277364,0.0007104150211660353
7,0.23814283100802064,0.238330990932019,0.051390959521539395,0.0007382729227123918,0.2433595385845357,0.012773561341534566,0.24235326305869476,0.01227619388019513,0.5143619538683805,0.3667926403818588,0.050600654043657496,0.238330990932019,0.13200338558595506,0.011721882003777433,0.037023211019712135,0.01227619388019513,0.2408400974804751,0.02180175360083205,0.760695121219595,0.6755195517939168,0.022749033961339524,0.0007013894209535927
8,0.23421531528929201,0.23616314664715735,0.049952110600676086,0.000718417171734797,0.2412161647694826,0.01845299049769181,0.2368584652566139,0.011378373089751532,0.5132840133512678,0.3622460617207177,0.04187366630405176,0.23616314664715735,0.1298972835326437,0.010957193159004584,0.030632891260746253,0.011378373089751532,0.23692648667319097,0.022086769989274387,0.7617903304292181,0.6747213017536011,0.02299090511867724,0.0006899569940178322
9,0.1588337810643481,0.15871854604262528,0.18349224235069775,0.0006387936046832296,0.16601629420946434,0.04504120902469018,0.16408393436642627,0.17318818857389875,0.5040850894236039,0.3660456818787531,0.0065980873317057435,0.15899770893898846,0.1396612378039647,0.1674649055126234,0.011835234451620883,0.17318818857389875,0.16153359046687008,0.04338849483845321,0.7489951138870928,0.6651043265204205,0.045219916091740676,0.00045829992189847283
10,0.24830295502469743,0.2478100152095647,0.18200355378347924,0.0007248351922528075,0.2607549396581262,0.02878697463441639,0.25969189612324156,0.1550411934160384,0.49144995765456084,0.36601206754560145,0.01652404370762878,0.24802179395852986,0.14158235423292773,0.14790811550881014,0.012330025888194806,0.1550411934160384,0.25075317099380195,0.04439855291679272,0.6898084883713179,0.6669952609593566,0.04566369708476901,0.0006703012424440684
11,0.21600855021808835,0.21660152865751525,0.1618206639507671,0.0006281637582002747,0.22251303917462975,0.041726826704878935,0.22146391141443544,0.1452669843237346,0.49800104618143776,0.36767357601281186,0.014990867785926862,0.21660152865751525,0.1334601473776979,0.14025478649134554,0.013741506816635595,0.1452669843237346,0.21878418053076967,0.04484357850576408,0.7247111993974016,0.6806557666997862,0.045485448557948394,0.0005970935962764786
